twiddling for
    throttle: 0.3
    start P: 0.13
    start I: 0
    start D: 0.5
with
    steps init: 100
    steps evaluate: 2000

twiddle 97 no improvement: P=0.168625; I=0; D=0.943473; error=1092.11; best_error=940.896
twiddle 98 no improvement: P=0.165251; I=0; D=0.943473; error=1159.95; best_error=940.896
twiddle 99 no improvement: P=0.166938; I=0; D=0.955319; error=1114.41; best_error=940.896
twiddle 100 no improvement: P=0.166938; I=0; D=0.931627; error=1093.41; best_error=940.896
twiddle 101 no improvement: P=0.168456; I=0; D=0.943473; error=1108.12; best_error=940.896
twiddle 102 no improvement: P=0.16542; I=0; D=0.943473; error=1079.38; best_error=940.896
twiddle 103 no improvement: P=0.166938; I=0; D=0.954134; error=1150.4; best_error=940.896
twiddle 104 no improvement: P=0.166938; I=0; D=0.932811; error=1058.4; best_error=940.896
twiddle 105 no improvement: P=0.168305; I=0; D=0.943473; error=1081.17; best_error=940.896
twiddle 106 no improvement: P=0.165572; I=0; D=0.943473; error=1074.61; best_error=940.896
twiddle 107 no improvement: P=0.166938; I=0; D=0.953068; error=1111.73; best_error=940.896
twiddle 108 no improvement: P=0.166938; I=0; D=0.933877; error=1098.37; best_error=940.896
twiddle 109 no improvement: P=0.168168; I=0; D=0.943473; error=1073.34; best_error=940.896
twiddle 110 no improvement: P=0.165708; I=0; D=0.943473; error=1089.57; best_error=940.896
twiddle 111 no improvement: P=0.166938; I=0; D=0.952108; error=1104.29; best_error=940.896
twiddle 112 no improvement: P=0.166938; I=0; D=0.934837; error=1099.26; best_error=940.896
twiddle 113 no improvement: P=0.168045; I=0; D=0.943473; error=1077.47; best_error=940.896

Process finished with exit code 139 (interrupted by signal 11: SIGSEGV)
